Event.ID,Person,Festival,Discipline,Date Range,Earliest Date,Latest Date,Achievement,Reference
1541,Marcus Aurelius Ptolemaeus from Argos (Argeia),Isthmia in Corinth (Corinthia),___: Poet - ___,,160,217,V,"F.Delphes III.1, 89"
1538,Marcus Aurelius Ptolemaeus from Argos (Argeia),Isthmia in Corinth (Corinthia),___: Poet - ___,,160,217,V,"F.Delphes III.1, 89"
1537,Marcus Aurelius Ptolemaeus from Argos (Argeia),Isthmia in Corinth (Corinthia),___: Poet - ___,,160,217,V,"F.Delphes III.1, 89"
1536,Marcus Aurelius Ptolemaeus from Argos (Argeia),Isthmia in Corinth (Corinthia),___: Poet - ___,,160,217,V,"F.Delphes III.1, 89"
1525,Marcus Aurelius Demostratos Damas from Sardis?,Isthmia in Corinth (Corinthia),combat sports: pugme - ___,,156,176,V,Sardis VII 79 = IGRR IV 1519 = IAG 84
1524,Marcus Aurelius Demostratos Damas from Sardis?,Isthmia in Corinth (Corinthia),combat sports: pugme - ___,,156,176,V,Sardis VII 79 = IGRR IV 1519 = IAG 84
1523,Marcus Aurelius Demostratos Damas from Sardis?,Isthmia in Corinth (Corinthia),combat sports: pugme - ___,,156,176,V,Sardis VII 79 = IGRR IV 1519 = IAG 84
1522,Marcus Aurelius Demostratos Damas from Sardis?,Isthmia in Corinth (Corinthia),combat sports: pugme - ___,,156,176,V,Sardis VII 79 = IGRR IV 1519 = IAG 84
1521,Marcus Aurelius Demostratos Damas from Sardis?,Isthmia in Corinth (Corinthia),combat sports: pugme - ___,,156,176,V,Sardis VII 79 = IGRR IV 1519 = IAG 84
1511,Titus Aelius Aurelius Menandros from Aphrodisias (Caria),Isthmia in Corinth (Corinthia),combat sports: pankration - ageneioi,,154,169,V,IAG 72 = LBW 1620b = I.Aphr. 12.920
1498,Titus Aelius Aurelius Maron from Kalykadnos (Cilicia),Isthmia in Corinth (Corinthia),combat sports: pale - ___,,151,169,V,SEG 41 1407
1497,Titus Aelius Aurelius Maron from Kalykadnos (Cilicia),Isthmia in Corinth (Corinthia),combat sports: pale - ___,,151,169,V,SEG 41 1407
1496,Titus Aelius Aurelius Maron from Kalykadnos (Cilicia),Isthmia in Corinth (Corinthia),combat sports: pale - ___,,151,169,V,SEG 41 1407
1484,Marcus Aurelius Hermagoras from Magnesia on the Sipylos (Lydia),Isthmia in Corinth (Corinthia),combat sports: pale - ___,,145,180,V,
